seq,timestamp_ms,red,ir,red_corrected,ir_corrected,time_sec,red_roll_mean,red_roll_std,ir_roll_mean,ir_roll_std,red_diff,ir_diff,red_diff2,ir_diff2,signal_energy
101,137100,40575,100879,-16.847415297618127,-23.014656192494567,2.007,-23.024661800577302,14.674056595403632,-37.01266670002595,27.33971643854094,-13.96391551043397,-10.065038172288835,-29.739945316842178,-19.2237686642163,813.5098018691458
102,137120,40575,100894,-15.689039078355435,-8.120662849645022,2.027,-22.650582010655338,14.616627186010566,-35.92998482628112,27.391537288830037,1.158376219262692,14.893993342849544,15.122291729696663,24.959031515138378,312.0911123197688
103,137140,40573,100927,-17.95540755333724,25.1702344792918,2.047,-22.621111921953112,14.62473848054517,-34.60934148668166,28.709035478444836,-2.266368474981803,33.29089732893682,-3.4247446942444952,18.396903986087278,955.9373641489697
104,137160,40580,100920,-11.41267317133009,18.15095106378141,2.067,-22.527542276720695,14.68222360484127,-34.316048891992125,29.177253897284555,6.542734382007149,-7.01928341551039,8.809102856988952,-40.31018074444721,459.7061334353851
105,137180,40565,100927,-26.468152121446103,24.66330210802045,2.087,-22.92257270152337,14.512878056116904,-33.55007963804363,30.215492837366572,-15.055478950116013,6.51235104423904,-21.598213332123162,13.53163445974943,1308.8415475954978
106,137193,40568,100910,-23.60304317404245,7.5367500590288445,2.1,-23.414523888091914,14.096527974848422,-33.50314085807464,30.278659098583802,2.8651089474036517,-17.126552048991606,17.920587897519667,-23.638903093230645,613.9062485279833
107,137215,40570,100884,-21.21593067690729,-18.25523645023484,2.122,-23.491489041358435,14.073325594540403,-33.59288503780906,30.22557500367925,2.38711249713516,-25.791986509263683,-0.4779964502684919,-8.665434460272078,783.3693723413186
108,137235,40568,100908,-22.5128242918834,5.65121186424733,2.142,-23.579989219325334,14.05254908456554,-33.651559486211106,30.144767168729782,-1.2968936149761099,23.90644831448217,-3.6840061121112697,49.698434823745856,538.7634531318251
109,137260,40573,100887,-17.460778991809075,-15.065288544298332,2.167,-23.700147011824146,13.972194648259874,-33.96846315410641,29.8573292606077,5.052045300074326,-20.716500408545663,6.348938915050436,-44.62294872302783,531.8417219237676
110,137280,40598,100893,6.794370729798016,-8.96261853743338,2.187,-23.436094124855746,14.423131557021271,-34.513656269091115,29.123345491450042,24.25514972160709,6.102670006864951,19.203104421532764,26.819170415410614,126.4920046614805
111,137301,40573,100899,-17.557752149422775,-3.179999692254328,2.208,-23.576613851033812,14.328760430233295,-34.59178007685631,29.03198075873013,-24.35212287922079,5.782618845179052,-48.60727260082788,-0.32005116168589876,318.3870585832977
112,137321,40569,100883,-21.660026157918733,-19.115418692573627,2.228,-24.022753581643578,13.900003762399653,-34.88411773487253,28.795400985109282,-4.102274008495957,-15.9354190003193,20.249848870724833,-21.71803784549835,834.5559649541169
113,137331,40569,100855,-21.32963692019761,-46.81678798812359,2.238,-24.205837689832293,13.80070463500435,-35.75920919538558,28.471628071436356,0.3303892377211213,-27.701369295549966,4.4326632462170785,-11.765950295230667,2646.7650486723705
